tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,timestamp,total,code generation,compilation,execution,error level,error message
64,1024,4,1024,-1,1712,586.0,111.0,179.0,145.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
64,1024,32,128,-1,2235,522.0,10.0,177.0,216.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
32,8,4,8,0.004096,3050,814.0,8.0,175.0,507.0,NO_ERROR,
512,1024,512,2,0.011616,3670,619.0,7.0,174.0,314.0,NO_ERROR,
32,16,32,4,0.00416,4271,600.0,7.0,175.0,295.0,NO_ERROR,
1024,1024,32,1,0.034112,4868,597.0,7.0,182.0,286.0,NO_ERROR,
64,128,16,128,-1,5335,467.0,7.0,175.0,156.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
64,64,8,32,0.00384,5993,657.0,6.0,171.0,350.0,NO_ERROR,
128,256,16,2,0.004736,6598,605.0,7.0,176.0,301.0,NO_ERROR,
256,128,2,8,0.005376,7184,586.0,7.0,168.0,285.0,NO_ERROR,
128,4,32,2,0.003744,7754,570.0,7.0,174.0,269.0,NO_ERROR,
16,1024,1,1024,0.007936,8342,588.0,5.0,176.0,283.0,NO_ERROR,
1024,4,32,4,0.003648,8969,626.0,7.0,177.0,317.0,NO_ERROR,
32,256,8,256,-1,9518,549.0,6.0,176.0,242.0,EXECUTION_ERROR,java.lang.RuntimeException: Nonzero exit value: 1,
1,256,1,64,0.02768,10077,559.0,6.0,170.0,259.0,NO_ERROR,
64,256,4,256,0.004224,10673,596.0,5.0,175.0,292.0,NO_ERROR,
8,256,4,32,0.008192,11298,625.0,6.0,171.0,327.0,NO_ERROR,
256,512,64,16,0.005696,11894,596.0,6.0,175.0,292.0,NO_ERROR,
512,64,1,2,0.019008,12487,592.0,6.0,171.0,295.0,NO_ERROR,
256,512,64,1,0.0056,13095,607.0,4.0,177.0,302.0,NO_ERROR,
