tuned_gs0,tuned_gs1,tuned_ls0,tuned_ls1,runtime,Valid,Timestamp
256,1024,128,512,-1.0,False,1630501978481
16,8,1,8,0.005632,True,1630501978481
64,2,1,1,0.003904,True,1630501978481
1024,512,512,32,-1.0,False,1630501978481
512,1024,64,16,0.011616,True,1630501978481
128,512,1,4,0.020832,True,1630501978481
32,64,32,1,0.004384,True,1630501978481
64,512,1,256,0.005792,True,1630501978481
8,256,1,8,0.008576,True,1630501978481
64,1024,16,8,0.007168,True,1630501978481
1024,256,512,64,-1.0,False,1630501978481
1024,16,512,2,0.003904,True,1630501978481
32,4,4,1,0.004128,True,1630501978481
512,2,512,1,0.003104,True,1630501978481
4,32,4,1,0.013344,True,1630501978481
8,512,4,1,0.014496,True,1630501978481
1024,512,8,128,0.009568,True,1630501978481
256,128,256,128,-1.0,False,1630501978481
256,32,128,8,0.00368,True,1630501978481
1024,128,2,128,0.004544,True,1630501978481
